route-idx,coordinates
10,"[(115, 167), (115, 166), (115, 165), (115, 164), (115, 163), (115, 162), (115, 161), (115, 160), (115, 159), (115, 158), (115, 157), (115, 156), (115, 155), (115, 154), (115, 153), (115, 152), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (107, 125), (106, 125), (105, 125), (104, 125), (103, 125), (103, 126), (102, 126), (101, 126), (100, 126), (99, 126), (98, 126), (97, 126), (97, 125), (96, 125), (96, 124), (95, 124), (95, 123), (95, 122), (94, 122), (93, 122), (93, 123), (92, 123), (92, 124), (91, 124), (90, 124), (90, 125), (90, 126), (89, 126), (88, 126), (87, 126), (87, 125), (86, 125), (86, 124), (85, 124), (85, 123), (84, 123), (84, 122), (83, 122), (83, 121), (82, 121), (82, 120), (82, 119), (81, 119), (81, 118), (80, 118), (80, 117), (79, 117), (79, 116), (78, 116), (77, 116), (77, 117), (77, 118), (76, 118), (76, 119), (75, 119), (75, 120), (75, 121), (74, 121), (74, 122), (73, 122), (73, 123), (72, 123), (71, 123), (71, 124), (71, 125), (70, 125), (70, 126), (70, 127), (70, 128), (70, 129), (70, 130), (70, 131), (70, 132), (70, 133), (70, 134), (70, 135), (70, 136), (70, 137), (70, 138), (70, 139), (69, 139), (69, 140), (69, 141), (69, 142), (68, 142), (68, 143), (68, 144), (67, 144), (66, 144), (65, 144), (65, 144)]"
11,"[(183, 87), (182, 87), (181, 87), (180, 87), (180, 86), (179, 86), (178, 86), (177, 86), (176, 86), (176, 87), (175, 87), (174, 87), (174, 86), (174, 85), (173, 85), (173, 84), (173, 83), (172, 83), (172, 82), (172, 81), (172, 80), (172, 79), (172, 78), (171, 78), (170, 78), (169, 78), (168, 78), (167, 78), (166, 78), (166, 77), (165, 77), (164, 77), (163, 77), (162, 77), (162, 78), (161, 78), (161, 79), (160, 79), (159, 79), (159, 80), (159, 81), (158, 81), (158, 82), (158, 83), (157, 83), (156, 83), (155, 83), (155, 84), (154, 84), (153, 84), (152, 84), (151, 84), (151, 85), (150, 85), (149, 85), (149, 86), (148, 86), (148, 87), (148, 88), (148, 89), (147, 89), (147, 90), (147, 91), (147, 92), (146, 92), (146, 93), (145, 93), (145, 94), (144, 94), (143, 94), (142, 94), (141, 94), (141, 95), (140, 95), (139, 95), (139, 96), (138, 96), (138, 97), (137, 97), (136, 97), (136, 98), (135, 98), (135, 99), (134, 99), (133, 99), (133, 100), (132, 100), (131, 100), (131, 101), (130, 101), (129, 101), (128, 101), (128, 102), (127, 102), (126, 102), (125, 102), (125, 101), (125, 100), (125, 99), (125, 98), (125, 97), (125, 96), (125, 95), (126, 95), (126, 94), (126, 93), (126, 92), (126, 91), (126, 90), (125, 90), (125, 89), (125, 88), (124, 88), (123, 88), (122, 88), (121, 88), (120, 88), (120, 89), (119, 89), (118, 89), (117, 89), (117, 88), (116, 88), (116, 87), (116, 86), (115, 86), (115, 85), (115, 84), (114, 84), (114, 83), (113, 83), (113, 82), (113, 81), (112, 81), (112, 80), (112, 79), (112, 78), (112, 77), (112, 76), (112, 75), (112, 74), (112, 73), (111, 73), (111, 72), (110, 72), (110, 71), (110, 70), (109, 70), (109, 69), (109, 68), (109, 67), (110, 67), (110, 66), (110, 65), (111, 65), (111, 64), (111, 63), (111, 62), (111, 61), (111, 60), (111, 59), (111, 58), (111, 57), (111, 56), (111, 55), (111, 54), (111, 53), (111, 52), (110, 52), (110, 51), (110, 50), (109, 50), (109, 49), (109, 48), (108, 48), (108, 47), (108, 46), (108, 45), (108, 44), (107, 44), (107, 43), (107, 42), (106, 42), (106, 41), (106, 40), (106, 39), (106, 38), (106, 37), (106, 36), (106, 35), (106, 34), (106, 33), (106, 32), (105, 32), (104, 32), (104, 32)]"
12,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (134, 134), (135, 134), (135, 133), (136, 133), (136, 132), (137, 132), (138, 132), (138, 131), (139, 131), (139, 130), (140, 130), (140, 129), (140, 128), (141, 128), (141, 127), (141, 126), (142, 126), (142, 125), (142, 124), (143, 124), (143, 123), (144, 123), (145, 123), (146, 123), (147, 123), (147, 124), (148, 124), (148, 125), (149, 125), (150, 125), (151, 125), (152, 125), (153, 125), (154, 125), (154, 124), (155, 124), (155, 123), (156, 123), (157, 123), (157, 122), (158, 122), (159, 122), (159, 121), (160, 121), (161, 121), (162, 121), (163, 121), (163, 120), (164, 120), (164, 119), (165, 119), (165, 118), (166, 118), (166, 117), (166, 116), (166, 115), (166, 114), (166, 113), (167, 113), (167, 112), (167, 111), (167, 110), (167, 109), (167, 108), (166, 108), (166, 107), (166, 106), (165, 106), (164, 106), (164, 105), (163, 105), (163, 104), (163, 103), (162, 103), (162, 102), (161, 102), (160, 102), (159, 102), (158, 102), (158, 101), (158, 100), (158, 99), (158, 98), (158, 97), (158, 96), (159, 96), (159, 95), (160, 95), (160, 94), (161, 94), (161, 93), (161, 92), (161, 91), (160, 91), (160, 90), (160, 89), (160, 88), (161, 88), (161, 87), (162, 87), (163, 87), (164, 87), (165, 87), (165, 88), (166, 88), (167, 88), (168, 88), (169, 88), (170, 88), (171, 88), (172, 88), (172, 87), (173, 87), (174, 87), (175, 87), (176, 87), (176, 86), (177, 86), (178, 86), (179, 86), (180, 86), (180, 87), (181, 87), (182, 87), (183, 87), (183, 87)]"
13,"[(44, 64), (44, 63), (44, 62), (43, 62), (43, 61), (42, 61), (42, 60), (41, 60), (41, 59), (40, 59), (40, 58), (39, 58), (38, 58), (38, 57), (38, 56), (38, 55), (38, 54), (38, 53), (37, 53), (37, 52), (36, 52), (35, 52), (34, 52), (34, 53), (33, 53), (32, 53), (32, 54), (31, 54), (30, 54), (29, 54), (29, 55), (28, 55), (27, 55), (26, 55), (25, 55), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (20, 68), (19, 68), (18, 68), (18, 67), (17, 67), (17, 67)]"
14,"[(44, 64), (44, 64)]"
15,"[(44, 64), (44, 63), (44, 62), (43, 62), (43, 61), (42, 61), (42, 60), (41, 60), (41, 59), (40, 59), (40, 58), (39, 58), (38, 58), (38, 57), (38, 56), (38, 55), (38, 54), (38, 53), (37, 53), (37, 52), (36, 52), (35, 52), (34, 52), (34, 53), (33, 53), (32, 53), (32, 54), (31, 54), (30, 54), (29, 54), (29, 55), (28, 55), (27, 55), (26, 55), (25, 55), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
16,"[(45, 68), (45, 69), (46, 69), (47, 69), (47, 70), (48, 70), (48, 71), (49, 71), (49, 72), (50, 72), (50, 73), (51, 73), (51, 74), (52, 74), (52, 75), (53, 75), (54, 75), (54, 76), (55, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
17,"[(45, 68), (45, 68)]"
18,"[(138, 181), (137, 181), (136, 181), (136, 180), (135, 180), (134, 180), (134, 179), (133, 179), (132, 179), (132, 178), (131, 178), (130, 178), (130, 177), (129, 177), (129, 176), (129, 175), (128, 175), (128, 175)]"
19,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
20,"[(138, 181), (139, 181), (140, 181), (140, 180), (140, 179), (140, 178), (140, 177), (140, 176), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (133, 133), (132, 133), (132, 132), (131, 132), (131, 131), (131, 130), (130, 130), (130, 129), (130, 128), (130, 127), (129, 127), (129, 126), (128, 126), (128, 125), (128, 124), (129, 124), (129, 123), (129, 122), (129, 121), (129, 120), (129, 119), (128, 119), (128, 118), (128, 117), (127, 117), (127, 116), (126, 116), (126, 115), (125, 115), (125, 114), (125, 113), (124, 113), (124, 112), (124, 111), (124, 111)]"
